[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], Level
[1024, 120, 8.533333333333333, 2.9166666666666665, 2.966666666666667, 1.1666666666666667, 0.16666666666666666, 3.75, 0.09450789500425145, 0.865546218487395, 0.15966386554621848, -2682.966885551309], N1
[527, 56, 9.410714285714286, 3.392857142857143, 3.2142857142857144, 1.2678571428571428, 0.125, 4.017857142857143, 0.15383004937050065, 1.490909090909091, 0.34545454545454546, -1313.1396170487094], N1
[1174, 137, 8.569343065693431, 2.897810218978102, 2.802919708029197, 1.27007299270073, 0.0948905109489051, 3.5693430656934306, 0.11914625385241975, 1.1544117647058822, 0.21323529411764705, -3047.037124283872], N1
[1223, 114, 10.728070175438596, 3.263157894736842, 3.6578947368421053, 1.543859649122807, 0.19298245614035087, 4.254385964912281, 0.18157829291336863, 1.8584070796460177, 0.4424778761061947, -3116.280631352757], N1
[1554, 180, 8.633333333333333, 2.8833333333333333, 2.8722222222222222, 1.1666666666666667, 0.1388888888888889, 3.611111111111111, 0.1173182537816816, 1.094972067039106, 0.2122905027932961, -4053.058620487332], N1
[1805, 215, 8.395348837209303, 2.958139534883721, 2.832558139534884, 1.172093023255814, 0.09302325581395349, 3.6325581395348836, 0.15008719519118124, 1.205607476635514, 0.21962616822429906, -4712.1669054267395], N1
[1635, 208, 7.860576923076923, 2.7115384615384617, 2.3990384615384617, 1.2788461538461537, 0.16826923076923078, 3.326923076923077, 0.11584191759317566, 0.961352657004831, 0.08695652173913043, -4357.802018950868], N1
[1541, 210, 7.338095238095238, 2.6476190476190475, 2.4714285714285715, 1.0666666666666667, 0.13333333333333333, 3.219047619047619, 0.119746965380341, 0.861244019138756, 0.1722488038277512, -4092.527143470216], N1
[1882, 246, 7.650406504065041, 2.796747967479675, 2.6097560975609757, 1.1544715447154472, 0.13008130081300814, 3.3495934959349594, 0.11727123649486888, 1.0040816326530613, 0.23673469387755103, -4931.115255740899], N1
[1650, 199, 8.291457286432161, 2.899497487437186, 3.100502512562814, 1.2010050251256281, 0.05527638190954774, 3.648241206030151, 0.12036653531427115, 1.0303030303030303, 0.2727272727272727, -4400.707056834695], N1
[1486, 175, 8.491428571428571, 2.8057142857142856, 2.9485714285714284, 1.2228571428571429, 0.13142857142857142, 3.6514285714285712, 0.11588334867908898, 1.0344827586206897, 0.16091954022988506, -3988.674440505092], N1
[1644, 184, 8.934782608695652, 3.0869565217391304, 2.4293478260869565, 1.6684782608695652, 0.21739130434782608, 3.864130434782609, 0.1440346239660322, 1.4153005464480874, 0.22950819672131148, -4204.486922475791], N1
[1930, 237, 8.143459915611814, 2.632911392405063, 2.3966244725738397, 1.3122362869198312, 0.20675105485232068, 3.4472573839662446, 0.138831356869021, 1.1271186440677967, 0.13135593220338984, -5049.155960788803], N1
[1627, 211, 7.710900473933649, 2.744075829383886, 2.5497630331753554, 1.2890995260663507, 0.12322274881516587, 3.3933649289099526, 0.09363472175900696, 0.7666666666666667, 0.09523809523809523, -4458.561074403331], N1
[1907, 215, 8.869767441860466, 3.0046511627906978, 3.0930232558139537, 1.255813953488372, 0.14418604651162792, 3.5813953488372094, 0.13440523788329073, 1.266355140186916, 0.29906542056074764, -4875.902130872116], N1
[812, 99, 8.202020202020202, 2.909090909090909, 2.7373737373737375, 1.292929292929293, 0.18181818181818182, 3.4545454545454546, 0.14513720731201998, 1.1734693877551021, 0.21428571428571427, -2073.744303451784], N2
[894, 95, 9.410526315789474, 3.0210526315789474, 3.094736842105263, 1.2736842105263158, 0.10526315789473684, 3.9368421052631577, 0.15657599429433242, 1.425531914893617, 0.2872340425531915, -2257.986958398495], N2
[458, 54, 8.481481481481481, 3.3333333333333335, 3.1666666666666665, 1.2222222222222223, 0.05555555555555555, 3.8333333333333335, 0.1300045116292938, 1.3396226415094339, 0.39622641509433965, -1176.11535806667], N2
[1122, 127, 8.834645669291339, 3.015748031496063, 2.6929133858267718, 1.5984251968503937, 0.15748031496062992, 3.732283464566929, 0.11245554945006817, 1.0, 0.19047619047619047, -2868.4409458238047], N2
[1324, 145, 9.13103448275862, 2.806896551724138, 2.731034482758621, 1.4551724137931035, 0.21379310344827587, 3.8344827586206898, 0.13508016842135545, 1.2361111111111112, 0.19444444444444445, -3361.8806959734943], N2
[1313, 136, 9.654411764705882, 3.2794117647058822, 3.161764705882353, 1.4485294117647058, 0.08823529411764706, 4.102941176470588, 0.1559225402860297, 1.5555555555555556, 0.35555555555555557, -3354.6508886851366], N2
[1328, 175, 7.588571428571429, 2.6857142857142855, 2.222857142857143, 1.2914285714285714, 0.13714285714285715, 3.3142857142857145, 0.12344357576550823, 1.0459770114942528, 0.21839080459770116, -3299.932412923126], N2
[1353, 139, 9.733812949640289, 2.8992805755395685, 2.7050359712230216, 1.4388489208633093, 0.20863309352517986, 3.9136690647482015, 0.15972156259843717, 1.5434782608695652, 0.18115942028985507, -3418.9292875900933], N2
